x,y,z
1.1377147487172328 nm,1.6404267036067535 nm,1.044669042552239 nm
1.5364050478091207 nm,0.9533222914767419 nm,1.4512288039162786 nm
0.6099466967237189 nm,1.3393461145650636 nm,0.30697873495967243 nm
1.050941229430059 nm,1.7313109939291094 nm,0.9297804292216292 nm
2.217188346337484 nm,0.9655117579241786 nm,1.018741746444382 nm
2.1950137288160447 nm,0.8063756472498407 nm,0.5942090845559984 nm
1.4604332804621123 nm,0.8436076645589927 nm,0.4953485398703493 nm
1.6904780365872119 nm,1.0925670774054665 nm,0.6235008398376964 nm
0.965427192456668 nm,1.400331700612741 nm,0.23325919153400335 nm
1.5017633971663562 nm,1.0973543122324882 nm,0.27275253730853105 nm
2.237838937344368 nm,0.8529570086091747 nm,0.8453302009134087 nm
2.583195217003429 nm,0.4156919579982956 nm,0.8328597149674638 nm
1.9757981638522908 nm,0.8621378968874697 nm,0.580764203309797 nm
2.126893805457571 nm,0.7341708766739347 nm,0.5956383737963684 nm
1.398995809939255 nm,1.3546428113789464 nm,0.24481664203972642 nm
0.8862407712550727 nm,0.8937640922502941 nm,0.34946469523204476 nm
2.153038839109311 nm,0.45440347429800276 nm,0.9926525751934566 nm
2.792459508558232 nm,0.39796914300477976 nm,0.8405858575390177 nm
2.2024671547127332 nm,0.898269873291329 nm,0.38512501229170937 nm
2.454724366143765 nm,0.6478858111131689 nm,0.6281851905080691 nm
1.7845101871079376 nm,0.9589716484444403 nm,0.058125541139397864 nm
1.2321937728166235 nm,1.0971624570567629 nm,0.32125916218551637 nm
2.2274550189087026 nm,0.5438836629273373 nm,0.9300914730506185 nm
2.751526931530622 nm,0.531905732318004 nm,0.8619981947336991 nm
2.288949245467967 nm,0.9917053521610066 nm,0.25589020334597884 nm
2.3923488804280364 nm,0.6840979459856491 nm,0.34147624200150606 nm
2.0136286888583808 nm,0.739818076472337 nm,-0.0646757826141533 nm
1.8487389706649358 nm,0.842837902592891 nm,0.16758711073220978 nm
2.26830210589936 nm,0.7529591557934298 nm,0.8808136680408328 nm
2.475473905224361 nm,0.7789304776838086 nm,0.864898891585153 nm
2.121530904751722 nm,1.2269984143548682 nm,0.23550155531276948 nm
2.0716304214299686 nm,0.9807217926008106 nm,0.36752505985887174 nm
2.1852205853117446 nm,0.9026133325662402 nm,-0.029047237091695127 nm
2.325265201256268 nm,0.8549532163552022 nm,0.0992998700192746 nm
2.0918353495676074 nm,0.9620337216927464 nm,0.781374156841395 nm
2.147042640007812 nm,1.1170560952867137 nm,0.7741957313992618 nm
2.0956325650366767 nm,1.3772917441917905 nm,0.2583493987696009 nm
2.0877327746015 nm,1.1392757415861057 nm,0.35294475705698425 nm
2.184551954476569 nm,1.1844608213086354 nm,0.007213539528393756 nm
2.4000965095997886 nm,1.079868995117972 nm,0.04456678540263532 nm
1.8661675062604084 nm,1.4107910904280614 nm,0.8657388110905228 nm
1.8226721018435932 nm,1.645631606496078 nm,0.8459343729813006 nm
1.8750464996797866 nm,1.6179005541835954 nm,0.3724418294309509 nm
2.09418325763637 nm,1.5555033316605953 nm,0.35635099510051127 nm
2.163913825624712 nm,1.3512296100765653 nm,0.018020291460973583 nm
2.3542134166759694 nm,1.2741344333679616 nm,0.03587315461042241 nm
1.3474431227391002 nm,1.929166424712597 nm,0.9156137075995159 nm
1.363259722866446 nm,2.1487973838919916 nm,0.8549578452150473 nm
1.9275677495243575 nm,1.9430475623097039 nm,0.39239651226994177 nm
1.9049576011522693 nm,1.9468783736376953 nm,0.2973669570621058 nm
2.356494274416362 nm,1.4942628407789849 nm,-0.02997844481011355 nm
2.217207199303498 nm,1.4672777221762219 nm,-0.02516214446613925 nm
1.173677879469072 nm,1.9906250339720861 nm,1.0821150829664878 nm
1.4356899726017454 nm,2.2060047113834167 nm,0.9634648227074522 nm
1.9860270602177785 nm,1.7834771708093395 nm,0.5452719133890889 nm
1.6324412491388864 nm,2.0194870047428344 nm,0.28087575221161715 nm
2.3166921190474934 nm,1.4050587537616814 nm,-0.08746770354293205 nm
1.952998719612252 nm,1.5342550479725579 nm,-0.01582805261936949 nm
1.0302873652513345 nm,2.303648773038215 nm,1.1681572639718967 nm
0.6130715860702796 nm,1.6555676760368017 nm,1.956118752836372 nm
2.8426894480603333 nm,1.3135574002975494 nm,1.0663574501309652 nm
1.7005496513755327 nm,1.9246385946845734 nm,1.2920080214909841 nm
0.7339335408784577 nm,1.5385708509510394 nm,0.9983510150364474 nm
1.8027901475727959 nm,1.590759947114929 nm,0.4623167736184258 nm
1.4138948138028538 nm,0.9904687165771628 nm,2.2228369853607317 nm
2.6573959846964392 nm,0.6909775446375112 nm,1.5373252602085246 nm
1.147459189978527 nm,1.542966111039586 nm,1.5360088956523785 nm
2.3606878089301553 nm,1.6042102348373808 nm,1.256954154804283 nm
2.6649429274905576 nm,1.8214216154123517 nm,0.5822627442015871 nm
1.2017252541503618 nm,0.7814820463756641 nm,0.4662586150739252 nm
2.628899925939349 nm,1.043819166287893 nm,0.9855683764381228 nm
2.740689220029245 nm,0.630599685072029 nm,0.7025579506215838 nm
1.561069652729607 nm,1.1196106537101491 nm,0.5105158938134142 nm
1.9846483488552753 nm,1.4263922041020345 nm,0.4521855673259122 nm
1.7082311279346296 nm,1.4201723248234763 nm,0.1493818905467859 nm
1.281730704703512 nm,1.927763608613617 nm,0.26819239932321687 nm
