x,y,z
3.2451664800996896 nm,1.0228578024389685 nm,0.7237780416777015 nm
0.1482810245061886 nm,1.2785203496114788 nm,0.7238179703387613 nm
0.14818617822798508 nm,0.9365778820247206 nm,0.48166034248969797 nm
3.244874342022748 nm,1.1930835262867843 nm,0.4821017830030281 nm
0.1484087899325743 nm,1.107352760749699 nm,0.24104432349475388 nm
3.244839288751559 nm,1.3634612088259104 nm,0.24098837296144748 nm
0.2966490981595607 nm,1.0226218315588573 nm,0.7231069524535739 nm
0.44278746707594574 nm,1.278315506386112 nm,0.7231087253061228 nm
0.44274810929908287 nm,0.937385361925902 nm,0.48206977059753164 nm
0.29673701046791917 nm,1.1930888239231168 nm,0.48203909278183715 nm
0.44283976204797143 nm,1.107894054652834 nm,0.24102425340911404 nm
0.29679051866407014 nm,1.363524967140961 nm,0.2410072847587293 nm
0.5904414087854076 nm,1.0226500212630738 nm,0.7231106262542033 nm
0.7381003192740158 nm,1.2783045527996355 nm,0.7230603030875934 nm
0.7380813411049898 nm,0.9374088285745592 nm,0.48202748373640275 nm
0.5904028712583218 nm,1.193077518085192 nm,0.48204307526441914 nm
0.7380288450064247 nm,1.107843068948332 nm,0.2409795809828527 nm
0.5904163164319622 nm,1.3634963802255577 nm,0.24096094668059329 nm
0.8856568129837652 nm,1.0226414558141423 nm,0.7230695875324574 nm
1.033233846272299 nm,1.278403561692811 nm,0.7231356759987124 nm
1.0332777138889153 nm,0.9374257082524944 nm,0.48203730766932157 nm
0.8856358785609967 nm,1.1930158134631785 nm,0.4821102585635655 nm
1.0331887504920818 nm,1.1077953089895054 nm,0.24105940524648004 nm
0.8856533447625227 nm,1.3635396195703304 nm,0.2410170923019771 nm
1.1808847868985128 nm,1.022599529268578 nm,0.7230893470258354 nm
1.3285010429596962 nm,1.2782906854535405 nm,0.7231005247134977 nm
1.3284892645553803 nm,0.9374043725122944 nm,0.48203939473506036 nm
1.1808443565051525 nm,1.1930993584827985 nm,0.48204131963153185 nm
1.3284871635403668 nm,1.1078252301321367 nm,0.24107853539967194 nm
1.1808639493369013 nm,1.3635467144235593 nm,0.24106367405685558 nm
1.4760445019659039 nm,1.0226358960774904 nm,0.7231313738016147 nm
1.6236727755384999 nm,1.2782806631421924 nm,0.7230260610079438 nm
1.6236794291920909 nm,0.9373992246905525 nm,0.48201570268886124 nm
1.4761354511016538 nm,1.1930335304740607 nm,0.48208074361053 nm
1.6236679546055819 nm,1.107863707682491 nm,0.24101578716638988 nm
1.476081748974287 nm,1.3634943657458842 nm,0.24100776789184858 nm
1.771307009652696 nm,1.0225879001865865 nm,0.723121253011779 nm
1.918885893234673 nm,1.2782975939055652 nm,0.7231454581043458 nm
1.9188894884920356 nm,0.937428326428123 nm,0.4819666537414195 nm
1.771293356104392 nm,1.193035400772776 nm,0.48203200192842294 nm
1.9189377208855067 nm,1.1079170127689755 nm,0.24097826515709417 nm
1.7712507485739888 nm,1.3635615331612974 nm,0.2410414445175873 nm
2.066517656942469 nm,1.0226319809885531 nm,0.7231181513751656 nm
2.2141091317536614 nm,1.278313815005171 nm,0.7230783238926646 nm
2.2140898462127807 nm,0.9374213475107767 nm,0.48201877625028156 nm
2.066518982225924 nm,1.1931406110492804 nm,0.48206906197844834 nm
2.2141723705867054 nm,1.1078452981193248 nm,0.240967920227673 nm
2.066511363545703 nm,1.363510440989043 nm,0.24099031302722562 nm
2.3616697865988634 nm,1.0225949589857473 nm,0.7231446077116946 nm
2.5093825572175117 nm,1.278268084703061 nm,0.7231262946416325 nm
2.5093659845297402 nm,0.9373883130249423 nm,0.4820061551161279 nm
2.361786854291772 nm,1.1930804439597915 nm,0.48200891021903547 nm
2.509381488822857 nm,1.1078676042228048 nm,0.24102439437074832 nm
2.361709949743365 nm,1.3635410266214603 nm,0.24098422753949436 nm
2.6569043798434215 nm,1.0226225151322004 nm,0.7230831577032496 nm
2.8045571359647816 nm,1.2782909587750293 nm,0.7230860107581973 nm
2.804547930020325 nm,0.9374314103411596 nm,0.482103946268446 nm
2.65698324657053 nm,1.1930368013023063 nm,0.48209353099918584 nm
2.8045983267549803 nm,1.1078549746670863 nm,0.24102914347528548 nm
2.656981563193131 nm,1.3634925412213708 nm,0.241041540758137 nm
2.952118279883617 nm,1.0225980554755556 nm,0.7230695092479429 nm
3.0997718449225786 nm,1.2782731574376933 nm,0.7231302341104717 nm
3.099740565741909 nm,0.9373957066417428 nm,0.4820713611105263 nm
2.9521315924144194 nm,1.1930632861829993 nm,0.482074740663881 nm
3.099794639542731 nm,1.1078789873619084 nm,0.2410108197800622 nm
2.952193588798296 nm,1.3635743026964944 nm,0.2409590136189014 nm
3.2441251026351403 nm,1.5341694941516169 nm,0.7240969403854365 nm
0.14844619146731491 nm,1.7905971436593149 nm,0.724107560677445 nm
0.14904951791469306 nm,1.448751656779594 nm,0.48206904697602165 nm
3.2437746833399212 nm,1.7044051028176022 nm,0.48210542123261374 nm
0.14886098944220838 nm,1.6198740799024058 nm,0.24101514090954473 nm
3.245998326790256 nm,1.874921789523407 nm,0.2410083998762739 nm
0.29744062862448184 nm,1.5339448871134465 nm,0.7231213387322086 nm
0.44279406370406216 nm,1.7896720099241303 nm,0.7231795869389207 nm
0.4428086858117956 nm,1.448756874603945 nm,0.482034200477214 nm
0.29743223773706634 nm,1.7043808078814298 nm,0.48204925123552606 nm
0.4427535808296978 nm,1.6192192112539183 nm,0.24096745631241104 nm
0.29593232648553935 nm,1.8749052353799258 nm,0.24098084920315654 nm
0.5904232713142198 nm,1.5339915201803154 nm,0.7231168106326391 nm
0.738077836457253 nm,1.7896789904765773 nm,0.7230747891809662 nm
0.738020986784031 nm,1.4487113723983844 nm,0.4820914733336462 nm
0.5904363861214547 nm,1.704417063127079 nm,0.4820357896926586 nm
0.738043793674281 nm,1.6191922655311464 nm,0.24103876639369848 nm
0.590442156634319 nm,1.8748439280743427 nm,0.24103019353628424 nm
0.8856485994309593 nm,1.5340090356395493 nm,0.7231288843743807 nm
1.0332602692054476 nm,1.7896118618417198 nm,0.7231250575043606 nm
1.0333045887066097 nm,1.4488220005460963 nm,0.48200515192518223 nm
0.8856354702317315 nm,1.7044930210302969 nm,0.48206484434313285 nm
1.0332319469567175 nm,1.6192329165736734 nm,0.24099507769697218 nm
0.8856754203753936 nm,1.8748246623639588 nm,0.2410326208761928 nm
1.180863112528062 nm,1.5339745304486536 nm,0.7230741311064965 nm
1.3284741162025426 nm,1.7896853529548693 nm,0.7231622580851895 nm
1.328504502907169 nm,1.4487676239572513 nm,0.4820604424979414 nm
1.1808918643300454 nm,1.704457697439689 nm,0.4820436153766098 nm
1.3284910023818592 nm,1.6191897502764907 nm,0.24103461246791746 nm
1.1809193746376674 nm,1.8748469716057414 nm,0.241020000995343 nm
1.4760713850266167 nm,1.534030128414555 nm,0.723097443665723 nm
1.6236781908894162 nm,1.78962903904684 nm,0.7231353323648335 nm
1.6237010597235635 nm,1.4487316215916575 nm,0.48212990116198357 nm
1.476137897078245 nm,1.7043887261128674 nm,0.48203051026392574 nm
1.6237205265078611 nm,1.6192451214781933 nm,0.24104560782962153 nm
1.4760564821939741 nm,1.8748613755066328 nm,0.24104446304120208 nm
1.7712764385239994 nm,1.5339722369972786 nm,0.723127186108135 nm
1.9189350025954504 nm,1.7896771973175203 nm,0.7231385404547784 nm
1.9189360431689975 nm,1.4487592683046429 nm,0.4820286323822622 nm
1.771220089874495 nm,1.704481929213111 nm,0.48209408556215316 nm
1.9189171149158852 nm,1.6191694089127637 nm,0.24107322862745964 nm
1.7712645291915832 nm,1.8748936975829538 nm,0.24106039092719908 nm
2.0664859071166397 nm,1.5339312686113966 nm,0.723060899299982 nm
2.2141663474372884 nm,1.7896364861611749 nm,0.7231201699291909 nm
2.2141275060693366 nm,1.4487423423250518 nm,0.48208528540289164 nm
2.0664819972417754 nm,1.7044446281359666 nm,0.48202489389569003 nm
2.21415252451721 nm,1.6192125852336199 nm,0.2410081299661836 nm
2.0665581290392745 nm,1.874861441025896 nm,0.24109880266368858 nm
2.361752870166035 nm,1.534035291423732 nm,0.7231013742725629 nm
2.509335717228163 nm,1.7896644955186713 nm,0.7231216463304362 nm
2.5093507860228854 nm,1.4487624335209415 nm,0.48201133477392216 nm
2.361710667344606 nm,1.7043927325647446 nm,0.4820425177836549 nm
2.5094048363265364 nm,1.619237825557945 nm,0.2410492811931856 nm
2.361753116366035 nm,1.8748821803064102 nm,0.24105134292312824 nm
2.6569534469195064 nm,1.5339973474377357 nm,0.7231448215561934 nm
2.804558735480883 nm,1.7896172404400712 nm,0.7231300220171997 nm
2.804586168392512 nm,1.4487942888233314 nm,0.4821024602638573 nm
2.656944890223909 nm,1.7044400690395929 nm,0.4821058628451098 nm
2.804632365035019 nm,1.619176107304143 nm,0.24104245521631942 nm
2.6569677119911335 nm,1.8748687958171424 nm,0.24096162258922493 nm
2.952208619878677 nm,1.5339471057912863 nm,0.7231173062474825 nm
3.099743559876466 nm,1.7895632820166218 nm,0.7231153635080996 nm
3.0997394510318266 nm,1.4487613617381654 nm,0.4820161150860138 nm
2.952196710418319 nm,1.7044041490567556 nm,0.4821002490420802 nm
3.09969777406983 nm,1.6191619548376697 nm,0.2410087665545554 nm
2.9521819567226335 nm,1.8748647546246884 nm,0.24097131798568788 nm
3.2458394707562785 nm,2.0454492535728668 nm,0.7235893515119843 nm
0.1487333291115846 nm,2.30047222933981 nm,0.7245109998954666 nm
0.1488774813562176 nm,1.9600662654453136 nm,0.4820308842251506 nm
3.2426368143664557 nm,2.215738483731197 nm,0.4820352640826652 nm
0.14926520411292085 nm,2.12954991012905 nm,0.2410649114428557 nm
3.242470829881873 nm,2.3862002516188285 nm,0.2410290016659473 nm
0.2962019073597615 nm,2.045308147642347 nm,0.7231365116095237 nm
0.4427640060145159 nm,2.301049202548546 nm,0.7231825416219652 nm
0.44278681481284865 nm,1.960054309966044 nm,0.48210837532564127 nm
0.29820937657176233 nm,2.2157647537893332 nm,0.48204852026200595 nm
0.44279403975694076 nm,2.1305464308144884 nm,0.24101885379856994 nm
0.2982967500299252 nm,2.386196967615873 nm,0.2409607076792753 nm
0.590450282047499 nm,2.0452988714994293 nm,0.7230950279155317 nm
0.738033251124817 nm,2.300900830238166 nm,0.7231006210125503 nm
0.7379763743860608 nm,1.960142536321827 nm,0.4820714843084451 nm
0.5904107215313255 nm,2.2157100000789796 nm,0.48207334507698774 nm
0.7380273062720201 nm,2.1305059971032283 nm,0.24106440213352753 nm
0.5904079650759643 nm,2.386180904612325 nm,0.24101455808104777 nm
0.8856068465094705 nm,2.045317344419556 nm,0.7231398499639443 nm
1.033246615769687 nm,2.300960365323209 nm,0.723120976766171 nm
1.0332365839284472 nm,1.9600569860461161 nm,0.4820712718992396 nm
0.885599211428203 nm,2.2157651049898868 nm,0.48205805150468084 nm
1.033302385292967 nm,2.130582141085189 nm,0.2409979632003291 nm
0.8856921756956361 nm,2.3862258426007874 nm,0.24106838197708266 nm
1.1808375491154655 nm,2.0453163625159885 nm,0.7231304489374204 nm
1.3284757196926302 nm,2.3009112022584715 nm,0.7231461208962493 nm
1.3284672025202608 nm,1.9600858350862511 nm,0.4820560277406671 nm
1.180923874653242 nm,2.2157287365419407 nm,0.48208176467305547 nm
1.3284461981966293 nm,2.1305868799172902 nm,0.24099854642006277 nm
