x,y,z
-0.007739059629650028 nm ps⁻¹,-0.45012460266574317 nm ps⁻¹,-0.7797162670343641 nm ps⁻¹
-0.13530872216435139 nm ps⁻¹,-0.35393361854969174 nm ps⁻¹,-0.6068839070720154 nm ps⁻¹
0.19309516844863966 nm ps⁻¹,-0.4826354676945482 nm ps⁻¹,-0.38046962239016335 nm ps⁻¹
-0.09905630145759783 nm ps⁻¹,-0.37537119860158336 nm ps⁻¹,-0.602835166424148 nm ps⁻¹
0.17543837714536806 nm ps⁻¹,-0.2600786003138527 nm ps⁻¹,-0.8639088206048114 nm ps⁻¹
-0.0720256446476537 nm ps⁻¹,-0.43058794290241 nm ps⁻¹,-0.6744068541542126 nm ps⁻¹
-0.10125337354408113 nm ps⁻¹,-0.31543940140927224 nm ps⁻¹,-0.5251935308184703 nm ps⁻¹
0.017095122557298812 nm ps⁻¹,-0.5289338979268848 nm ps⁻¹,-0.6843480999772895 nm ps⁻¹
-0.036696330755704075 nm ps⁻¹,-0.3664935873502227 nm ps⁻¹,-0.5021159684827083 nm ps⁻¹
-0.10479174940864656 nm ps⁻¹,-0.5083489880417568 nm ps⁻¹,-0.6466169286609614 nm ps⁻¹
-0.04921483054903657 nm ps⁻¹,-0.2979351860084936 nm ps⁻¹,-0.7882311257599177 nm ps⁻¹
-0.12841519366357426 nm ps⁻¹,-0.34036391147829226 nm ps⁻¹,-0.6369893881910306 nm ps⁻¹
-0.17381442315674686 nm ps⁻¹,-0.4433697463508974 nm ps⁻¹,-0.9137249884712324 nm ps⁻¹
-0.17960994828134108 nm ps⁻¹,-0.6121492301996387 nm ps⁻¹,-0.6637016537962575 nm ps⁻¹
-0.13131038355100455 nm ps⁻¹,-0.5808236763604162 nm ps⁻¹,-0.577350723505768 nm ps⁻¹
0.007530917570028405 nm ps⁻¹,-0.5416953241716136 nm ps⁻¹,-0.5402500018925237 nm ps⁻¹
-0.09509527688197478 nm ps⁻¹,-0.23024611839173262 nm ps⁻¹,-0.6035327055647313 nm ps⁻¹
0.06660581906716977 nm ps⁻¹,-0.5604910100581395 nm ps⁻¹,-0.49132137271291776 nm ps⁻¹
-0.14911301717007341 nm ps⁻¹,-0.5227496855543656 nm ps⁻¹,-0.6015417638958481 nm ps⁻¹
0.20585121022504962 nm ps⁻¹,-0.23996530509441746 nm ps⁻¹,-0.7003182771875744 nm ps⁻¹
0.11650502029165836 nm ps⁻¹,-0.37069879957586727 nm ps⁻¹,-0.4611497947072117 nm ps⁻¹
-0.04640836808072778 nm ps⁻¹,-0.3776917573792983 nm ps⁻¹,-0.5612505545581711 nm ps⁻¹
-0.04984082602558553 nm ps⁻¹,-0.34925019430947374 nm ps⁻¹,-0.7049895196503907 nm ps⁻¹
0.08569367452931811 nm ps⁻¹,-0.4659260109960346 nm ps⁻¹,-0.49388270697184367 nm ps⁻¹
-0.03769580494358306 nm ps⁻¹,-0.33966549405935037 nm ps⁻¹,-0.5273963500670572 nm ps⁻¹
0.04416548663058462 nm ps⁻¹,-0.5189373208628738 nm ps⁻¹,-0.5726904551206453 nm ps⁻¹
0.040530271172061164 nm ps⁻¹,-0.33219924424348074 nm ps⁻¹,-0.567263562601093 nm ps⁻¹
-32.85269172222265 nm ps⁻¹,2.1981184537739495 nm ps⁻¹,9.457398238665021 nm ps⁻¹
10.657359658043582 nm ps⁻¹,2.4603273760469704 nm ps⁻¹,9.678836655887565 nm ps⁻¹
14.403796298951816 nm ps⁻¹,-0.3363992957312863 nm ps⁻¹,-0.3448521914173392 nm ps⁻¹
-36.86153756505817 nm ps⁻¹,-0.5192739567036027 nm ps⁻¹,-0.4721238858091211 nm ps⁻¹
13.755001412570735 nm ps⁻¹,2.076945010414673 nm ps⁻¹,-0.5704422286375062 nm ps⁻¹
-30.10871155474919 nm ps⁻¹,-0.3654435143959752 nm ps⁻¹,-0.5483491082428249 nm ps⁻¹
22.10458095312249 nm ps⁻¹,-0.24020529161977144 nm ps⁻¹,-0.4500953068776691 nm ps⁻¹
-0.3908788633883174 nm ps⁻¹,-0.5611732222351207 nm ps⁻¹,-0.41261232329749636 nm ps⁻¹
-0.3207286994458809 nm ps⁻¹,-0.38971217289851723 nm ps⁻¹,-0.33003246379858103 nm ps⁻¹
22.776046052268605 nm ps⁻¹,-0.3829063604393159 nm ps⁻¹,-0.42218530367462254 nm ps⁻¹
-0.14822655399979834 nm ps⁻¹,-0.3186992404888364 nm ps⁻¹,-0.40614662918109307 nm ps⁻¹
17.93874357848601 nm ps⁻¹,-0.24635808189179992 nm ps⁻¹,-0.43604006356496605 nm ps⁻¹
