x,y,z
-24214.744887447523 kJ nm⁻¹ mol⁻¹,-188966.11853674607 kJ nm⁻¹ mol⁻¹,-290779.52494180604 kJ nm⁻¹ mol⁻¹
-18987.68443827705 kJ nm⁻¹ mol⁻¹,-188311.79351316008 kJ nm⁻¹ mol⁻¹,-290431.16870121966 kJ nm⁻¹ mol⁻¹
-23851.21544726893 kJ nm⁻¹ mol⁻¹,-187540.02862212755 kJ nm⁻¹ mol⁻¹,-291506.06589724735 kJ nm⁻¹ mol⁻¹
-23959.352650957953 kJ nm⁻¹ mol⁻¹,-189476.78031560115 kJ nm⁻¹ mol⁻¹,-291480.3515539538 kJ nm⁻¹ mol⁻¹
-24186.037165901405 kJ nm⁻¹ mol⁻¹,-183624.6635672588 kJ nm⁻¹ mol⁻¹,-292001.74800778384 kJ nm⁻¹ mol⁻¹
-24200.54963087513 kJ nm⁻¹ mol⁻¹,-188311.2038855367 kJ nm⁻¹ mol⁻¹,-290842.9224776837 kJ nm⁻¹ mol⁻¹
-23496.266363944465 kJ nm⁻¹ mol⁻¹,-188789.73854536982 kJ nm⁻¹ mol⁻¹,-290615.3110086873 kJ nm⁻¹ mol⁻¹
-23488.210648645487 kJ nm⁻¹ mol⁻¹,-187868.2279789701 kJ nm⁻¹ mol⁻¹,-290254.4242097935 kJ nm⁻¹ mol⁻¹
-23586.856792837105 kJ nm⁻¹ mol⁻¹,-185729.41251809883 kJ nm⁻¹ mol⁻¹,-291364.7550537136 kJ nm⁻¹ mol⁻¹
-23697.19966797701 kJ nm⁻¹ mol⁻¹,-189206.57809458039 kJ nm⁻¹ mol⁻¹,-291636.4048053015 kJ nm⁻¹ mol⁻¹
-24695.176451786552 kJ nm⁻¹ mol⁻¹,-182918.8207458433 kJ nm⁻¹ mol⁻¹,-292262.3302744864 kJ nm⁻¹ mol⁻¹
-23770.672657505624 kJ nm⁻¹ mol⁻¹,-188503.88062081276 kJ nm⁻¹ mol⁻¹,-290842.63870268915 kJ nm⁻¹ mol⁻¹
-23782.393769484843 kJ nm⁻¹ mol⁻¹,-188354.12678946293 kJ nm⁻¹ mol⁻¹,-291258.4635599129 kJ nm⁻¹ mol⁻¹
-23434.223865864522 kJ nm⁻¹ mol⁻¹,-187913.65376398742 kJ nm⁻¹ mol⁻¹,-290462.4307948142 kJ nm⁻¹ mol⁻¹
-24789.38290168032 kJ nm⁻¹ mol⁻¹,-185307.22114053974 kJ nm⁻¹ mol⁻¹,-290890.43504070205 kJ nm⁻¹ mol⁻¹
-24208.13500725037 kJ nm⁻¹ mol⁻¹,-188281.1947691631 kJ nm⁻¹ mol⁻¹,-291461.1152645521 kJ nm⁻¹ mol⁻¹
-23448.018382043883 kJ nm⁻¹ mol⁻¹,-180199.60525333986 kJ nm⁻¹ mol⁻¹,-293398.8201092033 kJ nm⁻¹ mol⁻¹
-23562.416493319222 kJ nm⁻¹ mol⁻¹,-187779.04556676844 kJ nm⁻¹ mol⁻¹,-290977.5514207546 kJ nm⁻¹ mol⁻¹
