Fx,Fy,Fz
-46.48666800767008,4257.405216921289,-1473.6688120233637
-46.590082708934084,495.4328316777464,-1632.85100361813
-46.72599421072495,-158.86238431153606,-193.66020725673266
-46.11500281300407,-5056.043216178757,1256.2980770851457
-45.33024595220945,4010.729417713301,-55.40349556405715
-46.187545293402735,-5294.290535566058,1362.8514745561858
-45.99901505804411,4936.973100090565,-1674.635701630779
-46.12523731387767,592.8914739096118,-1847.8150595783884
-46.7412629409873,-158.36337788216133,-194.13945270322225
-46.134678972461025,-5735.269053015086,1457.7165498319157
-45.871447415173044,4590.417978022276,-41.247589751051905
-46.50687240127654,-5974.985207650402,1564.50829603788
-46.40770722598023,5614.867826677546,-1874.5948311262432
-46.825409699333825,690.4503435094915,-2062.4033405382324
-46.18451276673836,-157.73737477587102,-195.1350420202629
-46.851266626304415,-6416.503395318583,1659.5701397244327
-47.76808156994951,5175.793857817058,-26.590555197701722
-43.853764958159935,-6655.879130860264,1766.9781358801342
-46.04801554842054,6293.3912012052415,-2076.1317973880246
-45.8800730172235,788.2326153404359,-2276.625304967408
-46.251921412887626,-157.08489982637516,-195.0970723048833
-46.902834771980174,-7103.200684128773,1860.902954071605
1964.9923562587142,2745.493180444181,-85.46986578613968
2024.328345936934,-4322.110235227689,2042.4945959079225
17.62366887285083,6973.550099183315,-2280.8988339913867
18.43952708947111,886.2510549481623,-2495.56748482657
18.106025128691744,-157.11676199726978,-195.34095890522264
-7156.368138644455,471.9037655314802,2021.866042969329
2342.8459342698475,481.7618353910878,2086.130652328012
3234.891440904685,-134.4164794610136,-122.20061614637957
-8332.261855543386,-140.24004029386458,-125.66578369206573
2412.861229148097,-803.5315206114352,-2467.477886805417
-8338.275764747039,-150.5536218596328,-154.74223180307263
4996.169883562696,-150.10470390060354,-158.09072531177097
-127.95282399112133,-149.55101610360927,-157.67171819844938
-127.14682086961739,-151.20201455905024,-160.25962509884545
5277.303016117696,-149.5681553181996,-158.43212832253138
-56.266116103728,-153.59962496376525,-161.16007513862698
5491.782271802308,-152.48230570948326,-158.6727473156654
14.826933769124434,-149.47879825520636,-159.79389778681167
10.07588040334224,-151.72149160120657,-159.5726567087559
9.683752123608942,-147.75084703837192,-158.98665431318514
15.493870491921426,-151.44912063060437,-158.06209083161104
10.80463034024298,-151.32199419867263,-158.69794730727892
15.366687130198397,-150.56910802048617,-158.81276691137467
10.237445180468018,-149.14616488273577,-159.11218417116655
11.588581958627143,-150.90992178355881,-159.09397287816432
10.191692371945294,-145.8516228224579,-160.4809176320862
10.64203528391953,-150.95426203785922,-158.89352626705156
11.10351567477435,-151.58905526458318,-158.42263013126086
10.908385333493051,-150.70568087382384,-158.91266702124827
10.972252017742012,-148.2192605328977,-159.24807743226395
9.615357357297373,-151.4996812934107,-158.6679544157925
10.718538970422513,-144.16744798492823,-159.8099272413425
10.523324919108697,-151.45176901721004,-158.6846638141352
10.348946310724063,-150.33059983754626,-159.48459390410397
10.7088065843298,-150.99047507167995,-158.85233712098596
10.954876738697804,-148.25326646648472,-159.09621877263376
11.554927280343826,-150.65016324178896,-158.65746388618174
10.0348452415401,-143.3625502450805,-159.6906338292723
10.416506797408383,-151.78183034014023,-159.17433289234296
11.475402201465263,-150.85998084698107,-158.88788255930675
10.695114481420594,-149.93642630054939,-158.8527979304197
10.9710681702037,-148.29978552485912,-159.00741001421773
10.632351092382383,-151.2053225218853,-159.2526332009001
10.214445499124343,-140.55215079847972,-159.70317671113855
11.779404998527246,-150.49622202437118,-159.51462681237817
10.56783364777848,-150.8049276349863,-158.74259709030898
10.64367815689951,-150.13845243103958,-157.8801288555653
9.512901179260563,-146.30548971792214,-159.35507540320882
10.994773551753305,-150.48202844942864,-159.09509020430943
10.58496894540788,-138.60832803068558,-159.29986674415034
9.760469836754773,-150.65285604459905,-158.6582588970294
10.947663642611053,-150.57736346991777,-159.45235153175793
10.520334172947788,-149.93164995594717,-158.66768729832054
8.961198846987088,-144.2401119007354,-159.52023039181768
11.090287751575165,-150.19614827907455,-158.502234582882
