x,y,z
2.301617774664774e6 kJ nm⁻¹ mol⁻¹,454717.36180350394 kJ nm⁻¹ mol⁻¹,1.9275559877317722e6 kJ nm⁻¹ mol⁻¹
3.195962466630897e6 kJ nm⁻¹ mol⁻¹,-194922.73468288887 kJ nm⁻¹ mol⁻¹,-293553.86532668944 kJ nm⁻¹ mol⁻¹
-8.39439385445119e6 kJ nm⁻¹ mol⁻¹,-188976.89582284732 kJ nm⁻¹ mol⁻¹,-290151.5716406245 kJ nm⁻¹ mol⁻¹
3.21983066439686e6 kJ nm⁻¹ mol⁻¹,-190171.98421876723 kJ nm⁻¹ mol⁻¹,-296567.07451929234 kJ nm⁻¹ mol⁻¹
-8.695731985678338e6 kJ nm⁻¹ mol⁻¹,-187412.11620143996 kJ nm⁻¹ mol⁻¹,-291867.1047087854 kJ nm⁻¹ mol⁻¹
4.975805759276543e6 kJ nm⁻¹ mol⁻¹,-189047.99406962993 kJ nm⁻¹ mol⁻¹,-289740.7028980312 kJ nm⁻¹ mol⁻¹
-163916.0411813306 kJ nm⁻¹ mol⁻¹,-191198.8415391465 kJ nm⁻¹ mol⁻¹,-290881.20684715605 kJ nm⁻¹ mol⁻¹
-165449.4460493092 kJ nm⁻¹ mol⁻¹,-187495.1915386768 kJ nm⁻¹ mol⁻¹,-292209.0075300347 kJ nm⁻¹ mol⁻¹
5.268205401317218e6 kJ nm⁻¹ mol⁻¹,-190703.04760375016 kJ nm⁻¹ mol⁻¹,-289531.3862896599 kJ nm⁻¹ mol⁻¹
-92925.41080613156 kJ nm⁻¹ mol⁻¹,-189918.605662511 kJ nm⁻¹ mol⁻¹,-291228.2689566077 kJ nm⁻¹ mol⁻¹
5.47093142202589e6 kJ nm⁻¹ mol⁻¹,-191521.9672806126 kJ nm⁻¹ mol⁻¹,-295031.454887284 kJ nm⁻¹ mol⁻¹
-22512.20299759717 kJ nm⁻¹ mol⁻¹,-188686.50204780683 kJ nm⁻¹ mol⁻¹,-291277.0827336581 kJ nm⁻¹ mol⁻¹
-23921.817538107458 kJ nm⁻¹ mol⁻¹,-188767.7080269951 kJ nm⁻¹ mol⁻¹,-291177.7945679841 kJ nm⁻¹ mol⁻¹
-23752.794416829947 kJ nm⁻¹ mol⁻¹,-186041.3050933841 kJ nm⁻¹ mol⁻¹,-291858.0098152549 kJ nm⁻¹ mol⁻¹
-22921.066770314184 kJ nm⁻¹ mol⁻¹,-188668.60141316731 kJ nm⁻¹ mol⁻¹,-291841.0335024823 kJ nm⁻¹ mol⁻¹
-23658.42054452212 kJ nm⁻¹ mol⁻¹,-188243.08405441567 kJ nm⁻¹ mol⁻¹,-290305.30018984404 kJ nm⁻¹ mol⁻¹
-20590.26863043942 kJ nm⁻¹ mol⁻¹,-188935.26565108937 kJ nm⁻¹ mol⁻¹,-291338.0238260235 kJ nm⁻¹ mol⁻¹
-23409.02570953721 kJ nm⁻¹ mol⁻¹,-187812.63583831987 kJ nm⁻¹ mol⁻¹,-291464.9777553195 kJ nm⁻¹ mol⁻¹
-23782.549437349433 kJ nm⁻¹ mol⁻¹,-188651.15886923307 kJ nm⁻¹ mol⁻¹,-290989.8016418421 kJ nm⁻¹ mol⁻¹
-24733.767584620455 kJ nm⁻¹ mol⁻¹,-185396.92325518237 kJ nm⁻¹ mol⁻¹,-291278.3482038484 kJ nm⁻¹ mol⁻¹
-24088.080162755858 kJ nm⁻¹ mol⁻¹,-189343.8162206283 kJ nm⁻¹ mol⁻¹,-291891.15284199454 kJ nm⁻¹ mol⁻¹
-23206.734684463303 kJ nm⁻¹ mol⁻¹,-188431.39779843538 kJ nm⁻¹ mol⁻¹,-291368.76463664044 kJ nm⁻¹ mol⁻¹
-23928.98954520794 kJ nm⁻¹ mol⁻¹,-189294.31695000464 kJ nm⁻¹ mol⁻¹,-291657.526132438 kJ nm⁻¹ mol⁻¹
