x,y,z
3.2451426331624824 nm,1.0227504080231056 nm,0.7237715910381335 nm
0.14832408132352398 nm,1.2784837232509882 nm,0.7238052130743182 nm
0.14855264058575107 nm,0.9374243179143543 nm,0.48209366297887923 nm
3.2449571480257013 nm,1.193037567943965 nm,0.48205569002889387 nm
0.14842656453348027 nm,1.108357333195084 nm,0.24099493276541253 nm
3.2464132343588212 nm,1.363525325984117 nm,0.24099032176779436 nm
0.29669083166593396 nm,1.0226758267631084 nm,0.723107213822535 nm
0.442790717738476 nm,1.2782451050470112 nm,0.7231177080034724 nm
0.44281150169579564 nm,0.9374101136757025 nm,0.4821012042065509 nm
0.29674177252266015 nm,1.193076784209184 nm,0.4820711946851504 nm
0.44282622458169335 nm,1.1078746903506203 nm,0.24103519486787595 nm
0.2956881799331383 nm,1.3635629971797083 nm,0.24102682254053587 nm
0.5904298803353542 nm,1.0226023771844184 nm,0.723144618024118 nm
0.7380670454238926 nm,1.278316203378949 nm,0.7231701769946098 nm
0.7380098895093334 nm,0.9373702791675561 nm,0.4820212303894188 nm
0.5904867003341088 nm,1.1930726136288918 nm,0.48213112491164145 nm
0.7379907070170848 nm,1.1079253680391472 nm,0.24101383994674236 nm
0.5904425244612062 nm,1.36346644607591 nm,0.24105326330120033 nm
0.8856537170244663 nm,1.0226186742110188 nm,0.7230951265417273 nm
1.033241693864759 nm,1.2782727013099993 nm,0.723120140697 nm
1.0332816642553513 nm,0.9374189226711356 nm,0.4820361468221359 nm
0.8856098872660092 nm,1.193076409030179 nm,0.4820770507399284 nm
1.0332587034891842 nm,1.1078646651767516 nm,0.24105242348150752 nm
0.8856799705928792 nm,1.3635871943957263 nm,0.24101817657835914 nm
1.180797596664847 nm,1.0226260076301743 nm,0.7230756136405599 nm
1.3284345410149951 nm,1.2783390153804763 nm,0.723059693692313 nm
1.3284386601555471 nm,0.9373870724352665 nm,0.48202144351045295 nm
1.180823135016392 nm,1.193061142603937 nm,0.48207766944358305 nm
1.3285048926106309 nm,1.107890114895781 nm,0.24102503976858602 nm
1.180955255355482 nm,1.3635321360413488 nm,0.2410075101953476 nm
1.4760788503692186 nm,1.0226130561592346 nm,0.723076138831187 nm
1.6237257882034903 nm,1.2783172733150923 nm,0.7231629798365417 nm
1.6236783645030197 nm,0.9374495658220376 nm,0.4819986272560486 nm
1.4761499094996784 nm,1.193076142175915 nm,0.4820732119965828 nm
1.6236616785970714 nm,1.1078579648640552 nm,0.2410098650831185 nm
1.4761012193075125 nm,1.3635275445152668 nm,0.24101363444891458 nm
1.7713237754826403 nm,1.0225724969076613 nm,0.7231204018908157 nm
1.9189510381030985 nm,1.2783252274456351 nm,0.7231270877584399 nm
1.918907518594704 nm,0.9374473430036794 nm,0.4821129867833353 nm
1.771273362355428 nm,1.1930859368444515 nm,0.4820282539012253 nm
1.91892348722691 nm,1.1078680243175392 nm,0.24103090493409202 nm
1.7712907902542054 nm,1.363537417438954 nm,0.24103701969726848 nm
2.0664510222967216 nm,1.0226580757424235 nm,0.7230574788033033 nm
2.2141294594070855 nm,1.2783669789668082 nm,0.7231558885243043 nm
2.2140676010902762 nm,0.9374026375050525 nm,0.4820697532465184 nm
2.0665833077697044 nm,1.1931402078087652 nm,0.4820544342750678 nm
2.2140736584779814 nm,1.10787017059253 nm,0.24098870330618555 nm
2.0664259975257386 nm,1.3635157995730602 nm,0.24102412493873682 nm
2.3617506248526055 nm,1.022674557969708 nm,0.7230797194989192 nm
2.509373216446902 nm,1.2783150894829658 nm,0.7231108368777914 nm
2.5093113994467497 nm,0.9374229529980735 nm,0.4820570791054284 nm
2.3616912460796136 nm,1.1930314501850114 nm,0.48206825467950765 nm
2.509370873695794 nm,1.1078500984150397 nm,0.24102908433703238 nm
2.361739999351266 nm,1.363547438277679 nm,0.2410255960074554 nm
2.65692547322886 nm,1.0226324404543248 nm,0.7230746437705402 nm
2.804563525774502 nm,1.278239981034046 nm,0.7230964874902814 nm
