x,y,z
0.4428090824842336 nm,1.4487110363585538 nm,0.48207148680793754 nm
0.29971327256656155 nm,1.704445607123336 nm,0.4819583928824913 nm
0.44273436860341464 nm,1.619174114718902 nm,0.24098392333157592 nm
0.2996820984333148 nm,1.874814984591788 nm,0.2410028275021702 nm
0.5904522478218305 nm,1.5339440790163723 nm,0.7231210905200347 nm
0.7380420095400488 nm,1.789608947799289 nm,0.7231044962834782 nm
0.7380070935734289 nm,1.4487289064715383 nm,0.4820228143353531 nm
0.5904247366745664 nm,1.70442723767807 nm,0.48213640250161965 nm
0.7380127943816843 nm,1.619155704410002 nm,0.24097616422940035 nm
0.5904399267908815 nm,1.8748851069827577 nm,0.241065443348927 nm
0.8856685151217493 nm,1.5339249263113812 nm,0.7231040439989678 nm
1.033233923285322 nm,1.7896211557424575 nm,0.7231861552196077 nm
1.0332874476428298 nm,1.4487762393569263 nm,0.4820608779800193 nm
0.8857232154116055 nm,1.7044575877706203 nm,0.4820717336284923 nm
1.0332137137779627 nm,1.6191488123217235 nm,0.24099559403837417 nm
0.8856809212323182 nm,1.874812870209253 nm,0.24097553360718443 nm
1.1808314030183502 nm,1.5339591795664091 nm,0.7230862530964614 nm
1.3284238491047404 nm,1.7896305335481195 nm,0.7230105471678723 nm
1.3284920358243868 nm,1.448705974634235 nm,0.48209283280712656 nm
1.1808645882985511 nm,1.7044018898450286 nm,0.48205344879365963 nm
1.3284770078645138 nm,1.6191645701549875 nm,0.24098470716317164 nm
1.180790664444104 nm,1.8748926492746358 nm,0.24103452497092084 nm
1.4761118090425214 nm,1.533975039087956 nm,0.7231134732385424 nm
1.6235880532697964 nm,1.78956634844715 nm,0.7231511121061269 nm
1.6236609768364503 nm,1.4486976801322387 nm,0.48198265183549815 nm
1.476149289308287 nm,1.7044204724536147 nm,0.4820058199542165 nm
1.6236440739453952 nm,1.6191746743158242 nm,0.24099684587269066 nm
1.4760652364327727 nm,1.8747666536101013 nm,0.24099938731911355 nm
1.7712855534727532 nm,1.534023283431396 nm,0.7230986530317906 nm
1.9188981710611763 nm,1.789641266874012 nm,0.7230173503531095 nm
1.9189789132084405 nm,1.4486454752245594 nm,0.4821425512229112 nm
1.7712642172869206 nm,1.7042864392772892 nm,0.4820466932940942 nm
1.918879809967303 nm,1.619136322651774 nm,0.24104144337891875 nm
1.7711970791033977 nm,1.874836746301962 nm,0.24096577021817123 nm
2.066519377551464 nm,1.5340102864915568 nm,0.723032409363722 nm
2.21419458326354 nm,1.7895994653062255 nm,0.7230756387994925 nm
2.214141519571283 nm,1.4487859427051133 nm,0.4820374504207853 nm
2.0665534110848855 nm,1.7043630490398254 nm,0.4820473587971985 nm
2.2140691585789027 nm,1.6192394797645708 nm,0.24106004486253282 nm
2.0664932213414686 nm,1.874818492273584 nm,0.2409949256018601 nm
2.3616872614137545 nm,1.5339088695983174 nm,0.7230857316373408 nm
2.509332671759093 nm,1.7895929589118584 nm,0.7231208988838022 nm
2.5093109630291757 nm,1.448755763825527 nm,0.48202184989165203 nm
2.3617445297325546 nm,1.7044315505596423 nm,0.48196719585892334 nm
2.5092541800885986 nm,1.6192696581070365 nm,0.24100845213312933 nm
2.3617877365433073 nm,1.874799760890535 nm,0.24101759016324037 nm
2.6569713068575673 nm,1.5339286155379404 nm,0.7231122890876684 nm
2.804538951251296 nm,1.7895976085272254 nm,0.7232060979205261 nm
2.8045299770551324 nm,1.4487023912922572 nm,0.48201920860696135 nm
2.6568320470825184 nm,1.7043498291244719 nm,0.48201881897237286 nm
2.804553671914575 nm,1.6191848043021624 nm,0.24100039864524178 nm
2.6568568176305627 nm,1.8748530060719024 nm,0.24097715715106088 nm
2.9522414259761636 nm,1.5339580162061317 nm,0.7231756204133435 nm
3.099753967778499 nm,1.789642591892565 nm,0.723115330287036 nm
3.099692640555116 nm,1.4487080427601293 nm,0.48202636132273285 nm
2.9521251790006158 nm,1.7044173537638123 nm,0.4820207362613722 nm
3.0997777951576646 nm,1.6192464536100362 nm,0.24102621577488442 nm
2.9520917950055203 nm,1.8748411050576206 nm,0.24101491856842788 nm
3.242932875380509 nm,2.045605125200916 nm,0.7243709277695869 nm
0.14999414077435544 nm,2.3002592858856183 nm,0.7259346345448867 nm
0.15096666606324294 nm,1.960482090173532 nm,0.48347711265891774 nm
3.2380081084574175 nm,2.215724271604852 nm,0.4821224566335802 nm
0.1510071524150311 nm,2.131877245725153 nm,0.24090396490437122 nm
3.242109887705497 nm,2.3862096677532674 nm,0.24102945615878377 nm
0.29821009288785616 nm,2.045323259558638 nm,0.7232096438774702 nm
0.4428541830428614 nm,2.3010105292085337 nm,0.7231406038997887 nm
0.4427155974925304 nm,1.960147791293565 nm,0.4820757565227508 nm
0.301205633254257 nm,2.215834344464858 nm,0.4820468846062177 nm
0.4427361977756335 nm,2.1304473410052673 nm,0.2410427068496519 nm
0.2982488995057939 nm,2.3862458888912728 nm,0.24106839117298595 nm
0.5904175787305993 nm,2.045201462862277 nm,0.7231340077694655 nm
0.7380654620546736 nm,2.300907960747987 nm,0.7230935296504866 nm
0.738034298193222 nm,1.9601104862275045 nm,0.48202320539633886 nm
0.5904935678891569 nm,2.2157516421997423 nm,0.4820548530361256 nm
0.7381032024068499 nm,2.1305448217645324 nm,0.24108471813963606 nm
0.5904305997501156 nm,2.386247048661779 nm,0.24100942463360042 nm
0.8857913479622278 nm,2.0452926502463575 nm,0.7231133651994406 nm
1.0332496114653658 nm,2.3009590517549863 nm,0.723133842994922 nm
1.0332931502573752 nm,1.960071733169546 nm,0.4821032586034574 nm
0.8856103051015124 nm,2.2157405018481877 nm,0.48200779220427087 nm
1.0332579486345717 nm,2.1305143545026923 nm,0.2410763374326238 nm
0.8856627719599715 nm,2.3861646088864945 nm,0.2410492426367187 nm
1.1807805284168822 nm,2.0452489033672134 nm,0.7232099079571023 nm
1.3284402001422855 nm,2.3009486825574483 nm,0.723134200244893 nm
1.3284827111678976 nm,1.960028534295675 nm,0.48205024217283327 nm
1.1808970477380878 nm,2.2156937156151044 nm,0.48208575278226234 nm
1.3284825925359476 nm,2.1305364497805828 nm,0.24105521135103977 nm
1.1808772332330209 nm,2.386184170640394 nm,0.2410647886349354 nm
1.4760190614999373 nm,2.045291080903725 nm,0.7231055114715756 nm
1.6237213376553292 nm,2.3009050593462264 nm,0.7231448359222402 nm
1.6237708016716468 nm,1.9601558232274052 nm,0.48206521499102184 nm
1.4761313746990068 nm,2.2158455730074076 nm,0.4820988472497991 nm
1.6236053447011771 nm,2.1305985251150723 nm,0.2409643713335944 nm
1.476075972796967 nm,2.3862484946629534 nm,0.24107158649008525 nm
1.7713217188760375 nm,2.0452470473211766 nm,0.7231043478376168 nm
1.9188828913111626 nm,2.3009368702204562 nm,0.7231424535968616 nm
1.9188519867330744 nm,1.960069165716055 nm,0.48212961165562657 nm
1.7712787484166421 nm,2.2156430153794187 nm,0.48204802899258975 nm
1.9189705805370423 nm,2.13051182974937 nm,0.24102397262451794 nm
1.771325330638307 nm,2.3861978783686526 nm,0.24100439073879396 nm
2.066496293236132 nm,2.045397237473919 nm,0.7231158646141818 nm
2.2141165305320722 nm,2.3009681270285482 nm,0.7230991741130386 nm
2.2141031965644564 nm,1.9601297824738773 nm,0.4821441245028033 nm
2.066439405678431 nm,2.2157462321593107 nm,0.4821478170255195 nm
2.2141438509755886 nm,2.130556489372886 nm,0.24110119725277246 nm
2.0665842191267774 nm,2.3862414993860916 nm,0.2410104496404678 nm
2.3617160167823634 nm,2.045319222274957 nm,0.7230163852098279 nm
2.5093734581948413 nm,2.300889460259857 nm,0.7231119009437208 nm
2.509368038677124 nm,1.9600713545865522 nm,0.48212060019038483 nm
2.3617270821548146 nm,2.215704209613726 nm,0.48201912054846097 nm
2.509394382938442 nm,2.130513795536787 nm,0.24104487271107022 nm
2.36171969151716 nm,2.386172256641373 nm,0.24099831177872233 nm
2.6569172851491696 nm,2.0452518991424187 nm,0.7231291924997371 nm
2.804581399027001 nm,2.3009200130413126 nm,0.7231031871488416 nm
2.804560954331737 nm,1.9600986942626268 nm,0.48209086232884424 nm
2.6569089041295553 nm,2.215733733453566 nm,0.48210908555202026 nm
2.8045371757989974 nm,2.1304509630296202 nm,0.2410841603013205 nm
2.6569395520484322 nm,2.3862544324101513 nm,0.24097596867993168 nm
2.952117719958622 nm,2.0452925628048795 nm,0.7231093326697015 nm
3.0997642514727253 nm,2.300932798003794 nm,0.7230685289445552 nm
3.0997714643151575 nm,1.9600479632728938 nm,0.48205268482409935 nm
2.9521574579237284 nm,2.2157235738699232 nm,0.4820767632665283 nm
3.099780276827124 nm,2.130491165939836 nm,0.2411032705788166 nm
2.952104655174531 nm,2.3862339899121077 nm,0.24096432306746907 nm
3.2367826349018842 nm,2.5575680527035543 nm,0.7263923960711876 nm
0.14938659854782887 nm,2.8162198229934567 nm,0.7245918730846297 nm
0.15126239297610813 nm,2.4726863807081148 nm,0.4803382085214691 nm
3.241897426266458 nm,2.7288859193278547 nm,0.48202501784514135 nm
0.1501814938214301 nm,2.643482682779283 nm,0.24267607671667304 nm
3.24561738416781 nm,2.8982746831632027 nm,0.24160785774620394 nm
0.3024909689831995 nm,2.5565841315899434 nm,0.723114209919502 nm
