r,v,Nv,Nvib,Et_i,θi,θorient,vib_phase,xi,yi,mN,mO
1.197885754,7.26E-02,,,,,,,,,,
1.202744007,1.49E-02,,,,,,,,,,
1.201118103,-4.43E-02,,,,,,,,,,
1.193171448,-9.90E-02,,,,,,,,,,
1.179737393,-0.142944816,,,,,,,,,,
1.162361843,-0.169512072,,,,,,,,,,
1.143319726,-0.172279407,,,,,,,,,,
1.125496181,-0.146962142,,,,,,,,,,
1.1120018,-9.43E-02,,,,,,,,,,
1.105479857,-2.22E-02,,,,,,,,,,
1.107302836,5.47E-02,,,,,,,,,,
1.117080684,0.11992755,,,,,,,,,,
1.132805634,0.161389844,,,,,,,,,,
1.151533563,0.174360476,,,,,,,,,,
1.170182621,0.160658668,,,,,,,,,,
1.186101009,0.125784768,,,,,,,,,,
1.197323507,7.64E-02,,,,,,,,,,
1.202615923,1.90E-02,,,,,,,,,,
1.201436969,-4.03E-02,,,,,,,,,,
1.193905029,-9.55E-02,,,,,,,,,,
1.180806304,-0.140407935,,,,,,,,,,
1.163636519,-0.168383307,,,,,,,,,,
1.144622113,-0.172958153,,,,,,,,,,
1.126615024,-0.149618399,,,,,,,,,,
1.112729413,-9.86E-02,,,,,,,,,,
1.105667042,-2.75E-02,,,,,,,,,,
1.106909309,4.96E-02,,,,,,,,,,
1.116190221,0.116113198,,,,,,,,,,
1.131595301,0.159444002,,,,,,,,,,
1.150218001,0.17437068,,,,,,,,,,
1.168964114,0.162348056,,,,,,,,,,
1.185140937,0.128716709,,,,,,,,,,
1.196733097,8.01E-02,,,,,,,,,,
1.202457144,2.31E-02,,,,,,,,,,
1.201725691,-3.63E-02,,,,,,,,,,
1.194612147,-9.20E-02,,,,,,,,,,
1.181855774,-0.137791347,,,,,,,,,,
1.164902261,-0.167143776,,,,,,,,,,
1.145929117,-0.173503725,,,,,,,,,,
1.127753405,-0.152141571,,,,,,,,,,
1.113489614,-0.102890492,,,,,,,,,,
1.10589401,-3.27E-02,,,,,,,,,,
1.106554271,4.45E-02,,,,,,,,,,
1.115328959,0.112186775,,,,,,,,,,
1.130400163,0.157361824,,,,,,,,,,
1.148902846,0.174252627,,,,,,,,,,
1.167733246,0.163935364,,,,,,,,,,
1.18415901,0.131578311,,,,,,,,,,
1.196114812,8.38E-02,,,,,,,,,,
1.202267742,2.71E-02,,,,,,,,,,
1.201984136,-3.22E-02,,,,,,,,,,
1.195292445,-8.84E-02,,,,,,,,,,
1.18288521,-0.135097254,,,,,,,,,,
1.166158239,-0.165795466,,,,,,,,,,
1.147239738,-0.173917117,,,,,,,,,,
1.128910317,-0.154530624,,,,,,,,,,
1.11428165,-0.107059272,,,,,,,,,,
1.106160523,-3.79E-02,,,,,,,,,,
1.106238091,3.93E-02,,,,,,,,,,
1.114497733,0.108151345,,,,,,,,,,
1.129221246,0.155143806,,,,,,,,,,
1.14758907,0.174005013,,,,,,,,,,
1.166490794,0.16541851,,,,,,,,,,
1.183155766,0.134367385,,,,,,,,,,
1.195468958,8.74E-02,,,,,,,,,,
1.202047808,3.12E-02,,,,,,,,,,
1.20221218,-2.82E-02,,,,,,,,,,
1.195945584,-8.48E-02,,,,,,,,,,
1.183894035,-0.132327855,,,,,,,,,,
1.167403641,-0.164340392,,,,,,,,,,
1.148552983,-0.174199424,,,,,,,,,,
1.130084743,-0.156784695,,,,,,,,,,
1.115104744,-0.111123177,,,,,,,,,,
1.106466304,-4.31E-02,,,,,,,,,,
1.105961096,3.41E-02,,,,,,,,,,
1.113697353,0.104010149,,,,,,,,,,
1.128059573,0.152790604,,,,,,,,,,
1.146277654,0.173626623,,,,,,,,,,
1.165237553,0.166795437,,,,,,,,,,
1.182131761,0.137081737,,,,,,,,,,
1.194795856,9.10E-02,,,,,,,,,,
1.201797444,3.52E-02,,,,,,,,,,
1.202409718,-2.42E-02,,,,,,,,,,
1.196571237,-8.11E-02,,,,,,,,,,
1.184881689,-0.129485343,,,,,,,,,,
1.168637669,-0.162780606,,,,,,,,,,
1.149867866,-0.174351839,,,,,,,,,,
1.131275664,-0.158903084,,,,,,,,,,
1.115958091,-0.115078921,,,,,,,,,,
1.106811034,-4.83E-02,,,,,,,,,,
1.105723578,2.89E-02,,,,,,,,,,
1.112928605,9.98E-02,,,,,,,,,,
1.126916161,0.150303037,,,,,,,,,,
1.144969589,0.173116335,,,,,,,,,,
1.16397433,0.168064116,,,,,,,,,,
1.181087566,0.13971917,,,,,,,,,,
1.194095843,9.46E-02,,,,,,,,,,
1.201516768,3.92E-02,,,,,,,,,,
1.202576656,-2.01E-02,,,,,,,,,,
1.197169096,-7.74E-02,,,,,,,,,,
1.18584763,-0.126571911,,,,,,,,,,
1.169859541,-0.161118184,,,,,,,,,,
1.151183414,-0.174375641,,,,,,,,,,
1.132482053,-0.160885254,,,,,,,,,,
1.116840865,-0.118923392,,,,,,,,,,
1.107194354,-5.33E-02,,,,,,,,,,
1.105525783,2.36E-02,,,,,,,,,,
1.112192245,9.54E-02,,,,,,,,,,
1.12579202,0.147682092,,,,,,,,,,
1.143665876,0.172473128,,,,,,,,,,
1.16270195,0.169222556,,,,,,,,,,
1.18002377,0.142277481,,,,,,,,,,
1.19336927,9.81E-02,,,,,,,,,,
1.201205912,4.32E-02,,,,,,,,,,
1.202712916,-1.60E-02,,,,,,,,,,
1.197738867,-7.36E-02,,,,,,,,,,
1.18679133,-0.123589742,,,,,,,,,,
1.17106849,-0.159355228,,,,,,,,,,
1.15249866,-0.174272198,,,,,,,,,,
1.133702882,-0.162730825,,,,,,,,,,
1.117752213,-0.122653659,,,,,,,,,,
1.107615868,-5.84E-02,,,,,,,,,,
1.105367919,1.83E-02,,,,,,,,,,
