x,y,z,N,dnn,a,aPBCx,aPBCy,aPBCz,α,β,γ
29.52170811,6.817746451,-2.410437374,,,,,,,,,
30.99779352,5.965528144,-4.820874748,,,,,,,,,
29.52170811,8.522183063,-4.820874748,,,,,,,,,
0,10.22661968,0,,,,,,,,,
1.476085406,12.7832746,0,,,,,,,,,
1.476085406,9.37440137,-2.410437374,,,,,,,,,
0,11.93105629,-2.410437374,,,,,,,,,
1.476085406,11.07883798,-4.820874748,,,,,,,,,
0,13.6354929,-4.820874748,,,,,,,,,
2.952170811,10.22661968,0,,,,,,,,,
4.428256217,12.7832746,0,,,,,,,,,
4.428256217,9.37440137,-2.410437374,,,,,,,,,
2.952170811,11.93105629,-2.410437374,,,,,,,,,
4.428256217,11.07883798,-4.820874748,,,,,,,,,
2.952170811,13.6354929,-4.820874748,,,,,,,,,
5.904341623,10.22661968,0,,,,,,,,,
7.380427029,12.7832746,0,,,,,,,,,
7.380427029,9.37440137,-2.410437374,,,,,,,,,
5.904341623,11.93105629,-2.410437374,,,,,,,,,
7.380427029,11.07883798,-4.820874748,,,,,,,,,
5.904341623,13.6354929,-4.820874748,,,,,,,,,
8.856512434,10.22661968,0,,,,,,,,,
10.33259784,12.7832746,0,,,,,,,,,
10.33259784,9.37440137,-2.410437374,,,,,,,,,
8.856512434,11.93105629,-2.410437374,,,,,,,,,
10.33259784,11.07883798,-4.820874748,,,,,,,,,
8.856512434,13.6354929,-4.820874748,,,,,,,,,
11.80868325,10.22661968,0,,,,,,,,,
13.28476865,12.7832746,0,,,,,,,,,
13.28476865,9.37440137,-2.410437374,,,,,,,,,
11.80868325,11.93105629,-2.410437374,,,,,,,,,
13.28476865,11.07883798,-4.820874748,,,,,,,,,
11.80868325,13.6354929,-4.820874748,,,,,,,,,
14.76085406,10.22661968,0,,,,,,,,,
16.23693946,12.7832746,0,,,,,,,,,
16.23693946,9.37440137,-2.410437374,,,,,,,,,
14.76085406,11.93105629,-2.410437374,,,,,,,,,
16.23693946,11.07883798,-4.820874748,,,,,,,,,
14.76085406,13.6354929,-4.820874748,,,,,,,,,
17.71302487,10.22661968,0,,,,,,,,,
19.18911027,12.7832746,0,,,,,,,,,
19.18911027,9.37440137,-2.410437374,,,,,,,,,
17.71302487,11.93105629,-2.410437374,,,,,,,,,
19.18911027,11.07883798,-4.820874748,,,,,,,,,
17.71302487,13.6354929,-4.820874748,,,,,,,,,
20.66519568,10.22661968,0,,,,,,,,,
22.14128109,12.7832746,0,,,,,,,,,
22.14128109,9.37440137,-2.410437374,,,,,,,,,
20.66519568,11.93105629,-2.410437374,,,,,,,,,
22.14128109,11.07883798,-4.820874748,,,,,,,,,
20.66519568,13.6354929,-4.820874748,,,,,,,,,
23.61736649,10.22661968,0,,,,,,,,,
25.0934519,12.7832746,0,,,,,,,,,
25.0934519,9.37440137,-2.410437374,,,,,,,,,
23.61736649,11.93105629,-2.410437374,,,,,,,,,
25.0934519,11.07883798,-4.820874748,,,,,,,,,
23.61736649,13.6354929,-4.820874748,,,,,,,,,
26.5695373,10.22661968,0,,,,,,,,,
28.04562271,12.7832746,0,,,,,,,,,
28.04562271,9.37440137,-2.410437374,,,,,,,,,
26.5695373,11.93105629,-2.410437374,,,,,,,,,
28.04562271,11.07883798,-4.820874748,,,,,,,,,
26.5695373,13.6354929,-4.820874748,,,,,,,,,
29.52170811,10.22661968,0,,,,,,,,,
30.99779352,12.7832746,0,,,,,,,,,
30.99779352,9.37440137,-2.410437374,,,,,,,,,
29.52170811,11.93105629,-2.410437374,,,,,,,,,
30.99779352,11.07883798,-4.820874748,,,,,,,,,
29.52170811,13.6354929,-4.820874748,,,,,,,,,
0,15.33992951,0,,,,,,,,,
1.476085406,17.89658443,0,,,,,,,,,
1.476085406,14.48771121,-2.410437374,,,,,,,,,
0,17.04436613,-2.410437374,,,,,,,,,
1.476085406,16.19214782,-4.820874748,,,,,,,,,
0,18.74880274,-4.820874748,,,,,,,,,
2.952170811,15.33992951,0,,,,,,,,,
4.428256217,17.89658443,0,,,,,,,,,
4.428256217,14.48771121,-2.410437374,,,,,,,,,
2.952170811,17.04436613,-2.410437374,,,,,,,,,
4.428256217,16.19214782,-4.820874748,,,,,,,,,
2.952170811,18.74880274,-4.820874748,,,,,,,,,
5.904341623,15.33992951,0,,,,,,,,,
7.380427029,17.89658443,0,,,,,,,,,
7.380427029,14.48771121,-2.410437374,,,,,,,,,
5.904341623,17.04436613,-2.410437374,,,,,,,,,
7.380427029,16.19214782,-4.820874748,,,,,,,,,
5.904341623,18.74880274,-4.820874748,,,,,,,,,
8.856512434,15.33992951,0,,,,,,,,,
10.33259784,17.89658443,0,,,,,,,,,
10.33259784,14.48771121,-2.410437374,,,,,,,,,
8.856512434,17.04436613,-2.410437374,,,,,,,,,
10.33259784,16.19214782,-4.820874748,,,,,,,,,
8.856512434,18.74880274,-4.820874748,,,,,,,,,
11.80868325,15.33992951,0,,,,,,,,,
13.28476865,17.89658443,0,,,,,,,,,
13.28476865,14.48771121,-2.410437374,,,,,,,,,
11.80868325,17.04436613,-2.410437374,,,,,,,,,
13.28476865,16.19214782,-4.820874748,,,,,,,,,
11.80868325,18.74880274,-4.820874748,,,,,,,,,
14.76085406,15.33992951,0,,,,,,,,,
16.23693946,17.89658443,0,,,,,,,,,
16.23693946,14.48771121,-2.410437374,,,,,,,,,
14.76085406,17.04436613,-2.410437374,,,,,,,,,
16.23693946,16.19214782,-4.820874748,,,,,,,,,
14.76085406,18.74880274,-4.820874748,,,,,,,,,
17.71302487,15.33992951,0,,,,,,,,,
19.18911027,17.89658443,0,,,,,,,,,
19.18911027,14.48771121,-2.410437374,,,,,,,,,
17.71302487,17.04436613,-2.410437374,,,,,,,,,
19.18911027,16.19214782,-4.820874748,,,,,,,,,
17.71302487,18.74880274,-4.820874748,,,,,,,,,
20.66519568,15.33992951,0,,,,,,,,,
22.14128109,17.89658443,0,,,,,,,,,
22.14128109,14.48771121,-2.410437374,,,,,,,,,
20.66519568,17.04436613,-2.410437374,,,,,,,,,
22.14128109,16.19214782,-4.820874748,,,,,,,,,
20.66519568,18.74880274,-4.820874748,,,,,,,,,
23.61736649,15.33992951,0,,,,,,,,,
25.0934519,17.89658443,0,,,,,,,,,
25.0934519,14.48771121,-2.410437374,,,,,,,,,
23.61736649,17.04436613,-2.410437374,,,,,,,,,
25.0934519,16.19214782,-4.820874748,,,,,,,,,
