x,y,z
-0.09411020581766205 nm ps⁻¹,-0.4105028345626685 nm ps⁻¹,-0.551066618256277 nm ps⁻¹
0.08650424955276151 nm ps⁻¹,-0.4282992976360925 nm ps⁻¹,-0.5067643493985587 nm ps⁻¹
-0.12958009513835583 nm ps⁻¹,-0.26065611608640205 nm ps⁻¹,-0.590514931363551 nm ps⁻¹
0.09722659251944869 nm ps⁻¹,-0.403631323097865 nm ps⁻¹,-0.7000427863078807 nm ps⁻¹
0.169245534649367 nm ps⁻¹,-0.34895466813939535 nm ps⁻¹,-0.5262664130182456 nm ps⁻¹
-0.15737539162627273 nm ps⁻¹,-0.34037857697750373 nm ps⁻¹,-0.6233274809027182 nm ps⁻¹
0.03334747401627 nm ps⁻¹,-0.23957439468081787 nm ps⁻¹,-0.3871443188906499 nm ps⁻¹
-0.09220836215489404 nm ps⁻¹,-0.2162948534645444 nm ps⁻¹,-0.6000608134855266 nm ps⁻¹
0.051960471550206694 nm ps⁻¹,-0.4179437137486929 nm ps⁻¹,-0.48181406777390784 nm ps⁻¹
-0.20106848538162406 nm ps⁻¹,-0.4643577379376717 nm ps⁻¹,-0.5653395440650668 nm ps⁻¹
-0.018717680183530976 nm ps⁻¹,-0.5552840022773445 nm ps⁻¹,-0.5095701748124133 nm ps⁻¹
0.08200736489197864 nm ps⁻¹,-0.3686273285399858 nm ps⁻¹,-0.7238247146198635 nm ps⁻¹
-0.08587586496068318 nm ps⁻¹,-0.365616849189634 nm ps⁻¹,-0.7884984520418978 nm ps⁻¹
-32.74941935418428 nm ps⁻¹,2.590599622071841 nm ps⁻¹,9.46346483225873 nm ps⁻¹
10.536498820254701 nm ps⁻¹,2.6173317224801074 nm ps⁻¹,9.708997694972329 nm ps⁻¹
11.30017035173862 nm ps⁻¹,-8.020723787608922 nm ps⁻¹,-2.250365486548682 nm ps⁻¹
-37.22660574264232 nm ps⁻¹,-0.36714805059794925 nm ps⁻¹,-0.3378705770567133 nm ps⁻¹
13.702597663046348 nm ps⁻¹,-2.8336618888902505 nm ps⁻¹,-0.32295694702593075 nm ps⁻¹
-37.89791465937676 nm ps⁻¹,-0.5862068503839774 nm ps⁻¹,-0.5682743900121894 nm ps⁻¹
21.95092940348566 nm ps⁻¹,-0.4332104933006205 nm ps⁻¹,-0.4716960523169161 nm ps⁻¹
-0.4134863981502713 nm ps⁻¹,-0.3386548001026357 nm ps⁻¹,-0.45933454151316583 nm ps⁻¹
-0.5468013086148233 nm ps⁻¹,-0.48449221469743214 nm ps⁻¹,-0.45095304819220217 nm ps⁻¹
22.742893025104635 nm ps⁻¹,-0.3589104713285491 nm ps⁻¹,-0.5461442839569436 nm ps⁻¹
-0.11470093379233541 nm ps⁻¹,-0.26915805607701854 nm ps⁻¹,-0.4590369107556791 nm ps⁻¹
23.30270775884991 nm ps⁻¹,-0.38035650358045225 nm ps⁻¹,-0.5153399277113452 nm ps⁻¹
-0.010570570828033877 nm ps⁻¹,-0.3371226330694794 nm ps⁻¹,-0.45839467186432364 nm ps⁻¹
0.14472268378974654 nm ps⁻¹,-0.3732847529924764 nm ps⁻¹,-0.625088407517657 nm ps⁻¹
0.08135102855433153 nm ps⁻¹,-0.4008766959406254 nm ps⁻¹,-0.5887292156941661 nm ps⁻¹
-0.13755688611493566 nm ps⁻¹,-0.39116883515896417 nm ps⁻¹,-0.5368582296017215 nm ps⁻¹
-0.09184629632017864 nm ps⁻¹,-0.43212934115493157 nm ps⁻¹,-0.6019950393149988 nm ps⁻¹
-0.09190157402662465 nm ps⁻¹,-0.4722233300678203 nm ps⁻¹,-0.6636747409046758 nm ps⁻¹
-0.026518862568161685 nm ps⁻¹,-0.36553260919987923 nm ps⁻¹,-0.5939590390065024 nm ps⁻¹
-0.1309432747063056 nm ps⁻¹,-0.044873343482457875 nm ps⁻¹,-0.374942151960889 nm ps⁻¹
0.014637989552145065 nm ps⁻¹,-0.34504898292892316 nm ps⁻¹,-0.5559389226800688 nm ps⁻¹
-0.09640637513789016 nm ps⁻¹,-0.5945318390849493 nm ps⁻¹,-0.31451629405547277 nm ps⁻¹
-0.28128436374994586 nm ps⁻¹,-0.5898320352011959 nm ps⁻¹,-0.33754807140640025 nm ps⁻¹
-0.038724507752152124 nm ps⁻¹,-0.3298390204679372 nm ps⁻¹,-0.47697865466469125 nm ps⁻¹
0.008338682329175931 nm ps⁻¹,-0.5037563149699612 nm ps⁻¹,-0.5288861095861089 nm ps⁻¹
0.03419369659257073 nm ps⁻¹,-0.419177430508423 nm ps⁻¹,-0.491804205981044 nm ps⁻¹
